Original,Predict,Score
],?,1.199937921354388
],[,1.4788829950990807
],],1.5051790635215863
],~,1.514096305374607
],§,1.4828972475046682
],«,1.2027211373330084
],¬,1.5205405007770452
],»,1.474586427913513
~,!,1.0852594070858967
~,"""",1.0533746625521467
~,(,1.051793822884153
~,),1.047720908181191
~,",",1.046310137765401
~,.,1.0449565441683313
~,:,1.0450694795579132
~,;,1.0541056986885557
~,?,1.063378352578115
~,[,1.0556302416211494
~,],1.0710302301524832
~,~,1.0635083555654579
~,§,1.0521328228289746
~,«,1.0213545499229422
~,¬,1.0640222616219688
~,»,1.0494081643324047
§,!,1.0069015309078333
§,"""",0.9780674199654049
§,(,0.9755570752081358
§,),0.9708857617159328
§,",",0.9727005841867191
§,.,0.9705612172109482
§,:,0.9764072866730318
§,;,0.9669685286314942
§,?,1.0084779981987197
§,[,0.9814217987665375
§,],0.9776925023821667
§,~,0.9952943713161172
§,§,0.9733050845228397
§,«,0.9766659907130982
§,¬,1.018672940940005
§,»,0.9755331830518821
«,!,1.3332087308274319
«,"""",1.3284270744646967
«,(,1.350183293448908
«,),1.3367433871851204
«,",",1.340117171859534
«,.,1.3157305094711205
«,:,1.3308432523577625
«,;,1.325192888472157
«,?,1.3420020900544858
«,[,1.3484739292012442
«,],1.3609101948744953
«,~,1.3288127190081769
«,§,1.3362001402271715
«,«,1.2984695635242764
«,¬,1.2851340026720186
«,»,1.3218121475790248
¬,!,1.2189701136670024
¬,"""",1.2390696494628353
¬,(,1.258227588679058
¬,),1.2542894960197688
¬,",",1.2613842933186332
¬,.,1.2550900825935456
¬,:,1.2479794889474283
¬,;,1.2529166041285247
¬,?,1.223928412767562
¬,[,1.259485499784473
¬,],1.2287829506499734
¬,~,1.2115488534235213
¬,§,1.2616118458647991
¬,«,1.2227541978568677
¬,¬,1.2270211673902027
¬,»,1.2542385816680268
